date,action,Q_lstm,dQ_xgb,Q_system,leg1_epistemic,leg2_aleatoric,leg3_threshold_safeguard,uale_t,w_t,Q_lo,Q_hi,alpha_t
2008-03-04,model,0.61856383,-3.031249,0.61856383,False,False,False,0.9072642819894969,0.012117434,0.0,11.913484937647022,0.13150000000000003
2008-03-05,model,0.61007845,-3.031249,0.61007845,False,False,False,0.9072642819894969,0.011951209,0.0,11.739251515671915,0.13200000000000003
2008-03-06,model,0.6011475,-3.031249,0.6011475,False,False,False,0.9072642819894969,0.0117762545,0.0,11.541705577094797,0.13250000000000003
2008-03-07,model,0.5885178,-3.031249,0.5885178,False,False,False,0.9072642819894969,0.011528844,0.0,11.272797362754497,0.13300000000000003
2008-03-08,model,0.57192534,-3.031249,0.57192534,False,False,False,0.9072642819894969,0.011203804,0.0,10.814180787099724,0.13350000000000004
2008-03-09,model,0.54296875,-3.031249,0.54296875,False,False,False,0.9072642819894969,0.010636555,0.0,10.221723678694293,0.13400000000000004
2008-03-10,model,0.47866517,-2.9465132,0.47866517,False,False,False,0.9072642819894969,0.009376872,0.0,9.005516042098938,0.13450000000000004
2008-03-11,defer,0.9236496,-3.031249,0.0,True,False,False,0.9072642819894969,0.018093951,0.0,17.2890770404617,0.13500000000000004
2008-03-12,defer,0.89726716,-2.397676,0.0,True,False,False,0.9072642819894969,0.017577128,0.0,16.789946609244268,0.13550000000000004
2008-03-13,model,0.29795837,-3.031249,0.29795837,False,False,False,0.9072642819894969,0.0058368933,0.0,5.569676165736568,0.13600000000000004
2008-03-14,model,0.65440524,-3.031249,0.65440524,False,False,False,0.9072642819894969,0.012299635,0.0,11.7485991492944,0.13650000000000004
2008-03-15,model,0.38981476,-3.031249,0.38981476,False,False,False,0.9072642819894969,0.007636326,0.0,7.274991145569331,0.13700000000000004
2008-03-16,model,0.3659668,-3.031249,0.3659668,False,False,False,0.9072642819894969,0.007169153,0.0,6.782006419627102,0.13750000000000004
2008-03-17,model,0.4508316,-3.031249,0.4508316,False,False,False,0.9072642819894969,0.008831623,0.0,8.349374135834466,0.13800000000000004
2008-03-18,model,0.49199218,-3.031249,0.49199218,False,False,False,0.9072642819894969,0.0096379435,0.0,9.091157987363937,0.13850000000000004
2008-03-19,model,0.49283448,-3.031249,0.49283448,False,False,False,0.9072642819894969,0.009654444,0.0,9.092702584579989,0.13900000000000004
2008-03-20,model,0.42375794,-3.031249,0.42375794,False,False,False,0.9072642819894969,0.00830126,0.0,7.799890433034204,0.13950000000000004
2008-03-21,model,0.5818588,-3.031249,0.5818588,False,False,False,0.9072642819894969,0.011398397,0.0,10.684940503332758,0.14000000000000004
2008-03-22,model,4.0159025,-3.9068842,4.0159025,False,False,False,137.1661463381793,0.07867003,0.0,73.63493867994515,0.14050000000000004
2008-03-23,model,3.3443375,-3.4031043,3.3443375,False,False,False,137.1661463381793,0.065514326,0.0,61.08531436900932,0.14100000000000004
2008-03-24,model,2.40002,-3.031249,2.40002,False,False,False,137.1661463381793,0.047015496,0.0,43.34805819214734,0.14150000000000004
2008-03-25,model,2.4649582,-3.031249,2.4649582,False,False,False,137.1661463381793,0.04828761,0.0,44.30005034761275,0.14200000000000004
2008-03-26,model,2.5956893,-3.031249,2.5956893,False,False,False,137.1661463381793,0.050848585,0.0,46.467873366777845,0.14250000000000004
2008-03-27,model,2.5880265,-3.031249,2.5880265,False,False,False,137.1661463381793,0.050698474,0.0,46.10062325566332,0.14300000000000004
2008-03-28,model,2.3908432,-3.031249,2.3908432,False,False,False,137.1661463381793,0.046835724,0.0,42.39374331713485,0.14350000000000004
2008-03-29,model,2.29135,-3.031249,2.29135,False,False,False,137.1661463381793,0.04488669,0.0,40.54945489258732,0.14400000000000004
2008-03-30,model,2.1018753,-3.031249,2.1018753,False,False,False,137.1661463381793,0.041174952,0.0,37.1190639078775,0.14450000000000005
2008-03-31,model,1.9601761,-3.031249,1.9601761,False,False,False,137.1661463381793,0.03839912,0.0,34.381829060230004,0.14500000000000005
2008-04-01,model,1.8774536,-3.5657458,1.8774536,False,False,False,137.1661463381793,0.036778614,0.0,32.631374928822765,0.14550000000000005
2008-04-02,model,1.7530472,-2.9465132,1.7530472,False,False,False,137.1661463381793,0.03434154,0.0,30.225009273975207,0.14600000000000005
2008-04-03,defer,1.5298812,-3.0922046,0.0,True,False,False,15.063260202298055,0.029969802,0.0,26.325267903813955,0.14650000000000005
2008-04-04,defer,1.4792144,-2.9465132,0.0,True,False,False,15.063260202298055,0.028977258,0.0,25.343995574467538,0.14700000000000005
2008-04-05,defer,1.107782,-3.031249,0.0,True,False,False,15.063260202298055,0.021701036,0.0,18.90043430139263,0.14750000000000005
2008-04-06,defer,1.5595459,-3.031249,0.0,True,False,False,15.063260202298055,0.02650498,0.0,23.122893330305956,0.14800000000000005
2008-04-07,defer,1.4258225,-3.031249,0.0,True,False,False,15.063260202298055,0.02425609,0.0,21.11246630254824,0.14850000000000005
2008-04-08,defer,1.2693558,-3.031249,0.0,True,False,False,15.063260202298055,0.022592995,0.0,19.582109715087018,0.14900000000000005
2008-04-09,defer,1.1020447,-3.031249,0.0,True,False,False,15.063260202298055,0.02024823,0.0,17.378168647595874,0.14950000000000005
2008-04-10,defer,0.9977249,-3.031249,0.0,True,False,False,0.9072642819894969,0.01737566,0.0,14.921168708812624,0.15000000000000005
2008-04-11,model,0.83230746,-3.031249,0.83230746,False,False,False,0.9072642819894969,0.015025577,0.0,12.818793075899102,0.15050000000000005
2008-04-12,model,0.7790222,-3.031249,0.7790222,False,False,False,0.9072642819894969,0.01219603,0.0,10.467151377482981,0.15100000000000005
2008-04-13,model,0.6724579,-3.031249,0.6724579,False,False,False,0.9072642819894969,0.010122258,0.0,8.685077260864809,0.15150000000000005
2008-04-14,model,0.3828659,-3.031249,0.3828659,False,False,False,0.9072642819894969,0.0075002,0.0,6.291834169015699,0.15200000000000005
2008-04-15,model,0.04224243,-3.0922046,0.04224243,False,False,False,15.063260202298055,0.00082751346,0.0,0.6937609627337622,0.15250000000000005
2008-04-16,model,0.9726593,-3.4439147,0.9726593,False,False,False,15.063260202298055,0.01008951,0.0,9.173942113629916,0.14800000000000005
2008-04-17,model,0.5258621,-3.031249,0.5258621,False,False,False,15.063260202298055,0.008008809,0.0,7.019099047547173,0.14850000000000005
2008-04-18,model,1.0710602,-3.031249,1.0710602,False,False,False,15.063260202298055,0.009955564,0.0,9.124218688577288,0.14900000000000005
2008-04-19,model,1.5346711,-3.031249,1.5346711,False,False,False,15.063260202298055,0.013439707,0.0,12.322482956567587,0.14950000000000005
2008-04-20,model,1.2333969,-2.9465132,1.2333969,False,False,False,15.063260202298055,0.012105187,0.0,10.916440438769266,0.15000000000000005
2008-04-21,model,0.9186203,-3.031249,0.9186203,False,False,False,15.063260202298055,0.011019964,0.0,9.691447744660886,0.15050000000000005
2008-04-22,model,0.76413727,-3.4439147,0.76413727,False,False,False,15.063260202298055,0.009183784,0.0,8.048913151334892,0.15100000000000005
2008-04-23,model,0.60163116,-2.8664672,0.60163116,False,False,False,15.063260202298055,0.007297338,0.0,6.367326445027841,0.15150000000000005
2008-04-24,model,0.4398941,-10.291231,0.4398941,False,False,False,15.063260202298055,0.005496353,0.0,4.768957868004504,0.15200000000000005
2008-04-25,model,0.29030913,7.1340227,0.29030913,False,False,False,15.063260202298055,0.0039754948,0.0,3.4191853244598143,0.15250000000000005
2008-04-26,model,0.1584839,6.098936,0.1584839,False,False,False,15.063260202298055,0.0027776249,0.0,2.341931273518761,0.15300000000000005
2008-04-27,model,0.083976746,10.419723,0.083976746,False,False,False,15.063260202298055,0.0016450732,0.0,1.3717648276240304,0.15350000000000005
2008-04-28,model,0.03172455,10.3595295,0.03172455,False,False,False,15.063260202298055,0.0006214721,0.0,0.5322953933044744,0.14900000000000005
