date,Q_mean,Q_std,w_t
2002-05-06,1.6380554,2.0567281,0.02014527
2002-05-07,1.1196167,1.4887218,0.014581753
2002-05-08,0.55884707,1.1176941,0.010947606
2002-05-09,0.9804001,1.4041203,0.013753097
2002-05-10,0.95602417,1.2606579,0.012347909
2002-05-11,0.4169937,0.66020304,0.0064665657
2002-05-12,0.05736084,0.11472168,0.0011236775
2002-05-13,0.0,1e-04,9.794813e-07
2002-05-14,0.0,1e-04,9.794813e-07
2002-05-15,0.0,1e-04,9.794813e-07
2002-05-16,0.0,1e-04,9.794813e-07
2002-05-17,0.0,1e-04,9.794813e-07
2002-05-18,0.0,1e-04,9.794813e-07
2002-05-19,0.0,1e-04,9.794813e-07
2002-05-20,0.0,1e-04,9.794813e-07
2002-05-21,0.0,1e-04,9.794813e-07
2002-05-22,0.0,1e-04,9.794813e-07
2002-05-23,0.7345642,1.4691284,0.014389838
2002-05-24,2.6163146,2.0637674,0.020214217
2002-05-25,0.88779604,1.229497,0.012042694
2002-05-26,0.49982604,0.7666047,0.00750875
2002-05-27,0.0,1e-04,9.794813e-07
2002-05-28,2.0589676,1.4167758,0.013877055
2002-05-29,9.821315,2.7254765,0.026695535
2002-05-30,6.0880203,2.975287,0.029142382
2002-05-31,3.4172745,2.2880664,0.022411184
2002-06-01,2.4081864,2.137218,0.020933652
2002-06-02,2.1611633,2.177202,0.021325286
2002-06-03,1.237117,1.8342291,0.017965931
2002-06-04,0.7017792,1.1561204,0.011323984
2002-06-05,0.565271,1.0204532,0.0099951485
2002-06-06,0.0,1e-04,9.794813e-07
2002-06-07,0.3713913,0.6298154,0.0061689243
2002-06-08,0.6945465,1.152544,0.011288954
2002-06-09,0.09789276,0.19578554,0.0019176828
2002-06-10,0.0,1e-04,9.794813e-07
2002-06-11,0.0,1e-04,9.794813e-07
2002-06-12,0.18320923,0.36641848,0.0035890008
2002-06-13,0.0,1e-04,9.794813e-07
2002-06-14,0.0,1e-04,9.794813e-07
2002-06-15,0.0,1e-04,9.794813e-07
2002-06-16,0.0,1e-04,9.794813e-07
2002-06-17,0.0,1e-04,9.794813e-07
2002-06-18,0.0,1e-04,9.794813e-07
2002-06-19,0.0,1e-04,9.794813e-07
2002-06-20,0.0,1e-04,9.794813e-07
2002-06-21,0.0,1e-04,9.794813e-07
2002-06-22,0.0,1e-04,9.794813e-07
2002-06-23,0.0,1e-04,9.794813e-07
2002-06-24,0.0,1e-04,9.794813e-07
2002-06-25,0.0,1e-04,9.794813e-07
2002-06-26,0.0,1e-04,9.794813e-07
2002-06-27,0.0,1e-04,9.794813e-07
2002-06-28,0.0,1e-04,9.794813e-07
2002-06-29,0.05406952,0.10813903,0.0010592017
2002-06-30,0.19376373,0.38752744,0.003795759
2002-07-01,0.0,1e-04,9.794813e-07
2002-07-02,0.0,1e-04,9.794813e-07
2002-07-03,0.77528685,0.95350015,0.009339356
2002-07-04,0.76593477,1.0019319,0.009813736
2002-07-05,2.4716797,2.2727149,0.022260819
2002-07-06,0.81552887,1.035128,0.010138886
2002-07-07,0.75690764,0.9380517,0.009188041
2002-07-08,0.9128326,0.9903037,0.00969984
2002-07-09,5.8006606,3.2937822,0.032261983
2002-07-10,11.711177,4.53038,0.044374224
2002-07-11,15.240412,5.168105,0.050620627
2002-07-12,17.700018,5.146904,0.050412964
2002-07-13,17.782349,4.7468038,0.04649406
2002-07-14,14.266812,5.555926,0.054419257
2002-07-15,12.982058,5.905083,0.05783919
2002-07-16,14.230647,6.286207,0.061572228
2002-07-17,17.11185,5.9987926,0.058757056
2002-07-18,15.833597,5.468562,0.053563546
2002-07-19,13.108287,5.785733,0.056670178
2002-07-20,12.687221,5.565721,0.054515198
2002-07-21,15.335902,7.0700984,0.06925029
2002-07-22,20.040564,5.6160965,0.055008616
2002-07-23,19.129673,6.4365244,0.063044555
2002-07-24,19.797623,5.7404456,0.056226593
2002-07-25,19.973314,6.0025687,0.05879404
2002-07-26,26.436304,6.9590964,0.06816305
2002-07-27,26.569912,5.2026167,0.05095866
2002-07-28,22.749588,5.124761,0.050196078
2002-07-29,20.229801,6.073913,0.059492845
2002-07-30,22.51436,6.8789926,0.06737845
2002-07-31,29.848278,7.3080583,0.071581066
2002-08-01,41.384296,8.583943,0.084078126
2002-08-02,45.762276,9.38571,0.091931276
2002-08-03,43.62606,8.897329,0.08714768
2002-08-04,42.645576,9.154767,0.089669235
2002-08-05,44.508923,10.053224,0.09846945
2002-08-06,42.345566,9.774647,0.09574084
2002-08-07,39.097725,9.569858,0.09373497
2002-08-08,35.486877,9.120794,0.08933648
2002-08-09,31.557745,8.744937,0.085655026
2002-08-10,29.168041,8.652516,0.08474978
2002-08-11,27.292755,8.4232025,0.0825037
2002-08-12,28.258102,8.697903,0.085194334
2002-08-13,32.533123,9.062659,0.08876706
2002-08-14,36.85607,8.98003,0.08795772
2002-08-15,46.48777,9.215323,0.090262376
2002-08-16,49.645744,9.465107,0.09270896
2002-08-17,46.105736,8.524814,0.08349896
2002-08-18,46.648987,8.616363,0.08439566
2002-08-19,75.49812,7.929738,0.077670306
