tau,coverage,risk,strategy
0.11665709228678182,0.6543463381245722,0.34965034965034963,S2-XGB
0.12386383026838303,0.6639288158795346,0.6503496503496503,S1-LSTM
0.12386383026838303,0.6639288158795346,0.02097902097902098,S2-Oracle
0.12386383026838303,0.6639288158795346,0.34965034965034963,S2-XGB
0.13788532788103278,0.6735112936344969,0.6503496503496503,S1-LSTM
0.13788532788103278,0.6735112936344969,0.06993006993006994,S2-Oracle
0.13788532788103278,0.6735112936344969,0.34965034965034963,S2-XGB
0.14550858226689428,0.6830937713894593,0.6503496503496503,S1-LSTM
0.14550858226689428,0.6830937713894593,0.07692307692307693,S2-Oracle
0.14550858226689428,0.6830937713894593,0.34965034965034963,S2-XGB
0.16289074618708002,0.6933607118412046,0.6503496503496503,S1-LSTM
0.16289074618708002,0.6933607118412046,0.07692307692307693,S2-Oracle
0.16289074618708002,0.6933607118412046,0.34965034965034963,S2-XGB
0.17795446786013516,0.702258726899384,0.6503496503496503,S1-LSTM
0.17795446786013516,0.702258726899384,0.08391608391608392,S2-Oracle
0.17795446786013516,0.702258726899384,0.35664335664335667,S2-XGB
0.19002148327502336,0.7132101300479123,0.6503496503496503,S1-LSTM
0.19002148327502336,0.7132101300479123,0.11188811188811189,S2-Oracle
0.19002148327502336,0.7132101300479123,0.36363636363636365,S2-XGB
0.20056220612742684,0.7214236824093087,0.6503496503496503,S1-LSTM
0.20056220612742684,0.7214236824093087,0.11888111888111888,S2-Oracle
0.20056220612742684,0.7214236824093087,0.3706293706293706,S2-XGB
0.21061825261874634,0.7323750855578371,0.6503496503496503,S1-LSTM
0.21061825261874634,0.7323750855578371,0.1258741258741259,S2-Oracle
0.21061825261874634,0.7323750855578371,0.3776223776223776,S2-XGB
0.22828276986425586,0.7453798767967146,0.6503496503496503,S1-LSTM
0.22828276986425586,0.7453798767967146,0.15384615384615385,S2-Oracle
0.22828276986425586,0.7453798767967146,0.3776223776223776,S2-XGB
0.24323207749561832,0.7535934291581109,0.6503496503496503,S1-LSTM
0.24323207749561832,0.7535934291581109,0.17482517482517482,S2-Oracle
0.24323207749561832,0.7535934291581109,0.38461538461538464,S2-XGB
0.26583821762691867,0.7638603696098563,0.6503496503496503,S1-LSTM
0.26583821762691867,0.7638603696098563,0.18181818181818182,S2-Oracle
0.26583821762691867,0.7638603696098563,0.38461538461538464,S2-XGB
0.2928894221782686,0.7727583846680356,0.6503496503496503,S1-LSTM
0.2928894221782686,0.7727583846680356,0.1888111888111888,S2-Oracle
0.2928894221782686,0.7727583846680356,0.3916083916083916,S2-XGB
0.3133624934066427,0.7864476386036962,0.6503496503496503,S1-LSTM
0.3133624934066427,0.7864476386036962,0.23776223776223776,S2-Oracle
0.3133624934066427,0.7864476386036962,0.43356643356643354,S2-XGB
0.3446221795407209,0.7960301163586585,0.6503496503496503,S1-LSTM
0.3446221795407209,0.7960301163586585,0.24475524475524477,S2-Oracle
0.3446221795407209,0.7960301163586585,0.4405594405594406,S2-XGB
0.37523520805619004,0.8042436687200547,0.6503496503496503,S1-LSTM
0.37523520805619004,0.8042436687200547,0.26573426573426573,S2-Oracle
0.37523520805619004,0.8042436687200547,0.44755244755244755,S2-XGB
0.3999465093829415,0.810403832991102,0.6503496503496503,S1-LSTM
0.3999465093829415,0.810403832991102,0.2867132867132867,S2-Oracle
0.3999465093829415,0.810403832991102,0.45454545454545453,S2-XGB
0.41641639904542394,0.8158795345653662,0.6503496503496503,S1-LSTM
0.41641639904542394,0.8158795345653662,0.3146853146853147,S2-Oracle
0.41641639904542394,0.8158795345653662,0.4755244755244755,S2-XGB
0.4506679499691188,0.8234086242299795,0.6503496503496503,S1-LSTM
0.4506679499691188,0.8234086242299795,0.34265734265734266,S2-Oracle
0.4506679499691188,0.8234086242299795,0.48951048951048953,S2-XGB
0.469831175587394,0.8309377138945927,0.6503496503496503,S1-LSTM
0.469831175587394,0.8309377138945927,0.35664335664335667,S2-Oracle
0.469831175587394,0.8309377138945927,0.5034965034965035,S2-XGB
0.48107340986078434,0.8473648186173853,0.6503496503496503,S1-LSTM
0.48107340986078434,0.8473648186173853,0.40559440559440557,S2-Oracle
0.48107340986078434,0.8473648186173853,0.5384615384615384,S2-XGB
0.4929012269323522,0.8576317590691307,0.6503496503496503,S1-LSTM
