date,Q_lstm,w_t,P,PET,P7d,P30d,P90d,ASM,BF_proxy,delta_Q,sin_month,cos_month
2008-07-27,57.966022,4.8922863,2.3445446,-18.30155,111.46661,16.619576,-1.8355553,73.39065,-11.129317,1.5502748,-14.593528,6.6112566
2008-07-28,62.846184,3.9682844,8.402094,2.3467634,65.80382,19.787577,4.13345,88.28097,10.695625,-4.4061265,-15.614061,11.768227
2008-07-29,52.16134,2.718537,8.3221,3.5573585,42.73113,50.490788,3.403925,97.09105,15.907939,-1.1540798,-17.704695,11.210285
2008-07-30,41.369835,5.22751,11.215845,2.5848818,24.70376,39.542267,4.4815373,56.311783,15.07098,-1.9746764,-19.45202,6.180741
2008-07-31,53.389206,1.4876894,-7.740532,0.37027386,103.97145,44.25965,6.4757667,60.747673,17.394476,-0.3017267,-15.347992,1.591887
2008-08-01,58.426094,1.1487677,-1.1581081,-0.7093139,106.91936,56.082954,10.810541,72.060005,24.325062,-0.7507849,6.934254,15.4908085
2008-08-02,43.076332,2.6049411,-18.577534,1.6761513,-4.250531,37.54858,8.606535,73.956924,19.815655,-0.7915541,7.3508863,13.686058
2008-08-03,53.82641,-2.2028835,-10.609305,-4.3360333,21.093237,21.328188,7.7623024,102.5711,17.725388,12.617513,5.0322967,14.623793
2008-08-04,30.790224,-15.190928,5.556688,0.20480394,21.000399,31.650915,2.738274,93.35084,19.313576,85.64086,5.2090473,13.271296
2008-08-05,29.265776,-13.180944,-0.46504098,-19.823805,58.581814,37.81466,9.31723,76.35187,29.312422,63.548107,5.7328753,13.056304
2008-08-06,24.826756,-39.747025,0.13586831,3.5497744,95.76979,36.149586,3.684564,61.868126,19.381138,14.639623,5.587878,14.407908
2008-08-07,26.862368,-33.193253,-32.638145,-3.9663923,107.53125,22.549412,1.329519,73.42148,18.352394,6.336741,3.2964354,14.182164
2008-08-08,15.830053,-37.182568,3.7036595,-16.146399,97.61519,17.476158,-0.08121859,68.15879,11.203503,25.982944,4.2111263,15.048962
2008-08-09,2.074052,-29.758749,0.73042536,-8.330182,93.244965,17.591206,0.15979522,86.16078,7.8038087,23.71103,3.4793186,13.156258
2008-08-10,-3.0580983,-61.37102,-0.82684433,-11.184979,92.95305,1.7467804,-2.259502,84.789925,6.4855814,10.695563,3.422172,13.430631
2008-08-11,-12.213578,-100.08714,-16.424576,-11.871107,118.16053,5.502635,18.275297,73.7132,-2.7151353,0.5449582,1.432987,11.864803
2008-08-12,-11.891569,-83.86354,-6.9394135,-7.7628927,156.3362,6.0221415,23.721378,83.76122,-7.7000704,-16.65837,1.4048256,12.256933
